batter,bowler,balls_faced,runs_scored,dismissals,strike_rate,average
V Kohli,RA Jadeja,160,179,3,111.87,59.67
V Kohli,R Ashwin,149,181,1,121.48,181
V Kohli,SP Narine,141,149,4,105.67,37.25
RG Sharma,SP Narine,137,145,8,105.84,18.12
RG Sharma,R Ashwin,128,119,3,92.97,39.67
AM Rahane,B Kumar,124,109,7,87.9,15.57
DA Warner,SP Narine,123,195,2,158.54,97.5
KL Rahul,JJ Bumrah,122,150,3,122.95,50
S Dhawan,Harbhajan Singh,120,147,3,122.5,49
SK Raina,Harbhajan Singh,120,132,5,110,26.4
RG Sharma,UT Yadav,118,170,5,144.07,34
RG Sharma,PP Chawla,115,146,2,126.96,73
DA Warner,R Ashwin,112,122,3,108.93,40.67
V Kohli,JJ Bumrah,110,164,5,149.09,32.8
SV Samson,Rashid Khan,108,121,1,112.04,121
V Kohli,KH Pandya,107,117,1,109.35,117
V Kohli,A Mishra,105,162,3,154.29,54
V Kohli,PP Chawla,105,140,3,133.33,46.67
KL Rahul,B Kumar,104,112,2,107.69,56
V Kohli,DJ Bravo,103,157,1,152.43,157
KL Rahul,DL Chahar,103,160,1,155.34,160
F du Plessis,TA Boult,102,114,4,111.76,28.5
CH Gayle,Harbhajan Singh,102,102,5,100,20.4
SK Raina,PP Chawla,101,175,4,173.27,43.75
AM Rahane,PP Chawla,101,146,3,144.55,48.67
KL Rahul,KH Pandya,98,103,1,105.1,103
RR Pant,Rashid Khan,97,117,2,120.62,58.5
KL Rahul,SP Narine,97,141,2,145.36,70.5
KL Rahul,YS Chahal,97,148,1,152.58,148
S Dhawan,R Ashwin,97,78,4,80.41,19.5
MS Dhoni,PP Ojha,96,98,6,102.08,16.33
V Kohli,UT Yadav,96,168,3,175,56
DA Warner,YS Chahal,96,156,2,162.5,78
SV Samson,B Kumar,95,120,4,126.32,30
DA Warner,Harbhajan Singh,95,113,4,118.95,28.25
RV Uthappa,R Ashwin,94,123,7,130.85,17.57
KL Rahul,Sandeep Sharma,92,103,1,111.96,103
V Kohli,B Kumar,91,129,4,141.76,32.25
RG Sharma,RA Jadeja,91,97,3,106.59,32.33
AB de Villiers,RA Jadeja,91,111,2,121.98,55.5
RG Sharma,A Mishra,91,87,7,95.6,12.43
