match_id,season,date,venue,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,match_stage
1082591,2017,05-04-2017,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,35,,Yuvraj Singh,AY Dandekar,NJ Llong,
1082592,2017,06-04-2017,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,,7,SPD Smith,A Nand Kishore,S Ravi,
1082593,2017,07-04-2017,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,10,CA Lynn,Nitin Menon,CK Nandan,
1082594,2017,08-04-2017,Holkar Cricket Stadium,Indore,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Kings XI Punjab,,6,GJ Maxwell,AK Chaudhary,C Shamshuddin,
1082595,2017,08-04-2017,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,15,,KM Jadhav,S Ravi,VK Sharma,
1082596,2017,09-04-2017,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,9,Rashid Khan,A Deshmukh,NJ Llong,
1082597,2017,09-04-2017,Wankhede Stadium,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,,4,N Rana,Nitin Menon,CK Nandan,
1082598,2017,10-04-2017,Holkar Cricket Stadium,Indore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,,8,AR Patel,AK Chaudhary,C Shamshuddin,
1082599,2017,11-04-2017,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,Delhi Daredevils,97,,SV Samson,AY Dandekar,S Ravi,
1082600,2017,12-04-2017,Wankhede Stadium,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,,4,JJ Bumrah,Nitin Menon,CK Nandan,
1082601,2017,13-04-2017,Eden Gardens,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,,8,SP Narine,A Deshmukh,NJ Llong,
1082602,2017,14-04-2017,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,4,KA Pollard,KN Ananthapadmanabhan,AK Chaudhary,
1082603,2017,14-04-2017,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Gujarat Lions,,7,AJ Tye,A Nand Kishore,S Ravi,
1082604,2017,15-04-2017,Eden Gardens,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,17,,RV Uthappa,AY Dandekar,NJ Llong,
1082605,2017,15-04-2017,Feroz Shah Kotla,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,51,,CJ Anderson,YC Barde,Nitin Menon,
1082606,2017,16-04-2017,Wankhede Stadium,Mumbai,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,,6,N Rana,A Nand Kishore,S Ravi,
1082607,2017,16-04-2017,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,Rising Pune Supergiant,27,,BA Stokes,KN Ananthapadmanabhan,C Shamshuddin,
1082608,2017,17-04-2017,Feroz Shah Kotla,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,,4,NM Coulter-Nile,Nitin Menon,CK Nandan,
1082609,2017,17-04-2017,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,5,,B Kumar,AY Dandekar,A Deshmukh,
1082610,2017,18-04-2017,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,Royal Challengers Bangalore,21,,CH Gayle,S Ravi,VK Sharma,
1082611,2017,19-04-2017,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,15,,KS Williamson,CB Gaffaney,NJ Llong,
1082612,2017,20-04-2017,Holkar Cricket Stadium,Indore,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,8,JC Buttler,M Erasmus,C Shamshuddin,
1082613,2017,21-04-2017,Eden Gardens,Kolkata,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,,4,SK Raina,CB Gaffaney,Nitin Menon,
1082614,2017,22-04-2017,Wankhede Stadium,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,14,,MJ McClenaghan,A Nand Kishore,S Ravi,
1082615,2017,22-04-2017,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,field,Rising Pune Supergiant,,6,MS Dhoni,AY Dandekar,A Deshmukh,
1082616,2017,23-04-2017,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Kings XI Punjab,26,,HM Amla,AK Chaudhary,M Erasmus,
1082617,2017,23-04-2017,Eden Gardens,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,82,,NM Coulter-Nile,CB Gaffaney,CK Nandan,
1082618,2017,24-04-2017,Wankhede Stadium,Mumbai,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,3,,BA Stokes,A Nand Kishore,S Ravi,
1082620,2017,26-04-2017,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,7,RV Uthappa,AY Dandekar,NJ Llong,
