player,season,matches,runs,balls_faced,strike_rate,wickets,overs_bowled,economy,catches,run_outs
SE Marsh,2007/08,11,616,441,139.68,0,0,,3,1
G Gambhir,2007/08,14,534,379,140.9,0,0,,2,0
ST Jayasuriya,2007/08,14,514,309,166.34,4,21,7.57,2,1
SR Watson,2007/08,15,472,311,151.77,17,54.1,7.07,1,0
GC Smith,2007/08,11,441,362,121.82,0,0,,2,0
AC Gilchrist,2007/08,14,436,318,137.11,0,0,,6,1
YK Pathan,2007/08,15,435,243,179.01,8,28.1,8.17,3,2
SK Raina,2007/08,14,421,295,142.71,1,3.2,9,10,2
MS Dhoni,2007/08,14,414,310,133.55,0,0,,6,2
V Sehwag,2007/08,14,406,220,184.55,3,11,12.09,3,5
RG Sharma,2007/08,12,404,273,147.99,1,4,6.25,8,0
R Dravid,2007/08,14,371,298,124.5,0,0,,2,1
SC Ganguly,2007/08,13,349,307,113.68,6,20,6.4,5,0
S Dhawan,2007/08,14,340,295,115.25,0,0,,8,0
KC Sangakkara,2007/08,9,320,198,161.62,0,0,,4,0
RV Uthappa,2007/08,14,320,279,114.7,0,0,,9,1
DJ Hussey,2007/08,13,319,259,123.17,2,13,10,5,0
SA Asnodkar,2007/08,9,311,233,133.48,0,0,,5,0
PA Patel,2007/08,13,302,297,101.68,0,0,,6,0
Yuvraj Singh,2007/08,14,299,184,162.5,3,9,9.22,7,3
Y Venugopal Rao,2007/08,10,288,210,137.14,2,14,9.79,0,0
JA Morkel,2007/08,13,241,163,147.85,17,48,8.31,3,0
MV Boucher,2007/08,10,225,177,127.12,0,0,,3,0
JR Hopes,2007/08,11,221,148,149.32,7,28,9.86,2,0
AM Nayar,2007/08,10,206,138,149.28,1,7,9.71,4,0
JH Kallis,2007/08,11,199,183,108.74,4,34.2,9.06,3,0
SP Fleming,2007/08,10,196,165,118.79,0,0,,2,0
Salman Butt,2007/08,7,193,161,119.88,0,0,,2,0
S Badrinath,2007/08,11,192,130,147.69,0,0,,5,2
ML Hayden,2007/08,4,189,131,144.27,0,0,,0,0
BB McCullum,2007/08,4,188,92,204.35,0,0,,1,0
SR Tendulkar,2007/08,7,188,177,106.21,0,0,,6,0
DPMD Jayawardene,2007/08,12,179,131,136.64,0,0,,3,1
DJ Bravo,2007/08,9,178,134,132.84,11,28.3,8.14,3,1
M Kaif,2007/08,14,176,171,102.92,0,0,,8,0
MEK Hussey,2007/08,3,168,100,168,0,0,,2,0
HH Gibbs,2007/08,9,167,153,109.15,0,0,,5,1
V Kohli,2007/08,12,165,157,105.1,2,7.4,7.96,2,0
LR Shukla,2007/08,12,163,122,133.61,6,12,10.33,2,1
A Symonds,2007/08,3,161,105,153.33,0,6.5,14.78,3,0
WP Saha,2007/08,10,159,119,133.61,0,0,,8,1
VVS Laxman,2007/08,6,155,132,117.42,0,0,,1,1
LA Pomersbach,2007/08,5,152,99,153.54,0,0,,1,0
LRPL Taylor,2007/08,4,149,81,183.95,0,0,,0,1
SM Pollock,2007/08,13,147,111,132.43,11,46,6.54,2,0
KD Karthik,2007/08,8,145,107,135.51,0,0,,6,1
S Vidyut,2007/08,8,145,109,133.03,1,2,11,1,0
RA Jadeja,2007/08,9,135,103,131.07,0,2.1,9.69,8,4
IK Pathan,2007/08,14,131,116,112.93,15,53,6.6,4,2
Kamran Akmal,2007/08,6,128,78,164.1,0,0,,5,0
MF Maharoof,2007/08,10,125,79,158.23,15,36,6.92,3,1
Misbah-ul-Haq,2007/08,8,117,81,144.44,0,0,,1,0
W Jaffer,2007/08,6,115,104,110.58,0,0,,3,1
