season,team,matches_played,wins,losses,points,net_run_rate,final_position
2017,Mumbai Indians(C),14,10,4,20,0.784,1
2017,Rising Pune Supergiant(R),14,9,5,18,0.176,2
2017,Sunrisers Hyderabad(4),14,8,5,17,0.599,3
2017,Kolkata Knight Riders(3),14,8,6,16,0.641,4
2017,Kings XI Punjab,14,7,7,14,−0.009,5
2017,Delhi Daredevils,14,6,8,12,−0.512,6
2017,Gujarat Lions,14,4,10,8,−0.412,7
2017,Royal Challengers Bangalore,14,3,10,7,−1.299,8
2018,Sunrisers Hyderabad(RU),14,9,5,18,0.284,1
2018,Chennai Super Kings(C),14,9,5,18,0.253,2
2018,Kolkata Knight Riders(3),14,8,6,16,−0.070,3
2018,Rajasthan Royals(4),14,7,7,14,−0.250,4
2018,Mumbai Indians,14,6,8,12,0.317,5
2018,Royal Challengers Bangalore,14,6,8,12,0.129,6
2018,Kings XI Punjab,14,6,8,12,−0.502,7
2018,Delhi Daredevils,14,5,9,10,−0.222,8
2019,Mumbai Indians(C),14,9,5,18,0.421,1
2019,Chennai Super Kings(R),14,9,5,18,0.131,2
2019,Delhi Capitals,14,9,5,18,0.044,3
2019,Sunrisers Hyderabad,14,6,8,12,0.577,4
2019,Kolkata Knight Riders,14,6,8,12,0.028,5
2019,Kings XI Punjab,14,6,8,12,−0.251,6
2019,Rajasthan Royals,14,5,8,11,−0.449,7
2019,Royal Challengers Bangalore,14,5,8,11,−0.607,8
2020/21,Mumbai Indians(C),14,9,5,18,1.107,1
2020/21,Delhi Capitals(R),14,8,6,16,−0.109,2
2020/21,Sunrisers Hyderabad(3rd),14,7,7,14,0.608,3
2020/21,Royal Challengers Bangalore(4th),14,7,7,14,−0.172,4
2020/21,Kolkata Knight Riders,14,7,7,14,−0.214,5
2020/21,Kings XI Punjab,14,6,8,12,−0.162,6
2020/21,Chennai Super Kings,14,6,8,12,−0.455,7
2020/21,Rajasthan Royals,14,6,8,12,−0.569,8
2021,Delhi Capitals(3rd),14,10,4,20,0.481,1
2021,Chennai Super Kings(C),14,9,5,18,0.455,2
2021,Royal Challengers Bangalore(4th),14,9,5,18,−0.140,3
2021,Kolkata Knight Riders(R),14,7,7,14,0.587,4
2021,Mumbai Indians,14,7,7,14,0.116,5
2021,Punjab Kings,14,6,8,12,−0.001,6
2021,Rajasthan Royals,14,5,9,10,−0.993,7
2021,Sunrisers Hyderabad,14,3,11,6,−0.545,8
2022,Gujarat Titans(C),14,10,4,20,0.316,1
2022,Rajasthan Royals(R),14,9,5,18,0.298,2
2022,Lucknow Super Giants(4th),14,9,5,18,0.251,3
2022,Royal Challengers Bangalore(3rd),14,8,6,16,−0.253,4
2022,Delhi Capitals,14,7,7,14,0.204,5
2022,Punjab Kings,14,7,7,14,0.126,6
2022,Kolkata Knight Riders,14,6,8,12,0.146,7
2022,Sunrisers Hyderabad,14,6,8,12,−0.379,8
2022,Chennai Super Kings,14,4,10,8,−0.203,9
2022,Mumbai Indians,14,4,10,8,−0.506,10
2023,Gujarat Titans(R),14,10,4,20,0.809,1
2023,Chennai Super Kings(C),14,8,5,17,0.652,2
2023,Lucknow Super Giants(4th),14,8,5,17,0.284,3
2023,Mumbai Indians(3rd),14,8,6,16,−0.044,4
2023,Rajasthan Royals,14,7,7,14,0.148,5
2023,Royal Challengers Bangalore,14,7,7,14,0.135,6
2023,Kolkata Knight Riders,14,6,8,12,−0.239,7
2023,Punjab Kings,14,6,8,12,−0.304,8
2023,Delhi Capitals,14,5,9,10,−0.808,9
2023,Sunrisers Hyderabad,14,4,10,8,−0.590,10
2024,Kolkata Knight Riders(C),14,9,3,20,1.428,1
2024,Sunrisers Hyderabad(R),14,8,5,17,0.414,2
2024,Rajasthan Royals(3rd),14,8,5,17,0.273,3
2024,Royal Challengers Bengaluru(4th),14,7,7,14,0.459,4
2024,Chennai Super Kings,14,7,7,14,0.392,5
2024,Delhi Capitals,14,7,7,14,−0.377,6
2024,Lucknow Super Giants,14,7,7,14,−0.667,7
2024,Gujarat Titans,14,5,7,12,−1.063,8
2024,Punjab Kings,14,5,9,10,−0.353,9
2024,Mumbai Indians,14,4,10,8,−0.318,10
2025,Punjab Kings,14,9,4,19,0.372,1
2025,Royal Challengers Bengaluru,14,9,4,19,0.301,2
2025,Gujarat Titans,14,9,5,18,0.254,3
2025,Mumbai Indians,14,8,6,16,1.142,4
2025,Delhi Capitals,14,7,6,15,−0.011,5
