venue,matches_played,avg_first_innings_score,avg_second_innings_score,highest_total,lowest_total,win_bat_first_pct,win_field_first_pct
Eden Gardens,77,160.18,147.06,232,49,38.96,61.04
Wankhede Stadium,73,166.03,154.38,235,67,48.61,51.39
M Chinnaswamy Stadium,65,168.06,145.52,263,2,41.94,58.06
Feroz Shah Kotla,60,161.63,147.85,231,44,45.76,54.24
"Wankhede Stadium, Mumbai",59,181.92,171.53,249,97,40.68,59.32
"Rajiv Gandhi International Stadium, Uppal",49,156.14,146.98,223,80,39.58,60.42
"MA Chidambaram Stadium, Chepauk",48,166.02,151.85,246,95,63.83,36.17
Sawai Mansingh Stadium,47,157.68,145.81,197,60,31.91,68.09
Dubai International Cricket Stadium,46,163.76,149.09,219,109,48.84,51.16
"Narendra Modi Stadium, Ahmedabad",41,185.8,166.1,243,86,48.78,51.22
"MA Chidambaram Stadium, Chepauk, Chennai",41,168.32,156.88,217,101,42.5,57.5
"Punjab Cricket Association Stadium, Mohali",35,163.29,150.63,240,84,42.86,57.14
"Eden Gardens, Kolkata",30,190.33,174.93,262,7,53.57,46.43
"Arun Jaitley Stadium, Delhi",30,193.63,180.7,278,75,44.83,55.17
Sheikh Zayed Stadium,29,158.86,145.62,206,70,40.74,59.26
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",29,174.79,166.46,235,108,40.74,59.26
Sharjah Cricket Stadium,28,159.04,147.5,228,85,35.71,64.29
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",26,194.65,181.76,286,131,52,48
"M Chinnaswamy Stadium, Bengaluru",24,190.38,181.71,287,95,45.83,54.17
Maharashtra Cricket Association Stadium,22,166.41,152.09,211,73,36.36,63.64
"Sawai Mansingh Stadium, Jaipur",21,194.52,178.29,229,59,42.86,57.14
"Dr DY Patil Sports Academy, Mumbai",20,170.7,157.95,216,113,50,50
"Brabourne Stadium, Mumbai",17,177.41,165.18,217,68,47.06,52.94
Dr DY Patil Sports Academy,17,146.65,136.29,190,82,41.18,58.82
Subrata Roy Sahara Stadium,16,149.44,133.56,187,99,62.5,37.5
M.Chinnaswamy Stadium,15,173.93,167.87,218,41,50,50
Rajiv Gandhi International Stadium,15,162.6,146.13,231,96,53.33,46.67
Kingsmead,15,152,138.2,211,79,53.33,46.67
Arun Jaitley Stadium,14,168.29,155,219,115,53.85,46.15
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,157.46,130.69,206,76,46.15,53.85
"Maharashtra Cricket Association Stadium, Pune",13,171.46,144.54,210,82,76.92,23.08
SuperSport Park,12,154.83,149.58,189,105,33.33,66.67
"Sardar Patel Stadium, Motera",12,163.17,149,201,102,54.55,45.45
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,164.09,158.18,207,67,45.45,54.55
Saurashtra Cricket Association Stadium,10,168.9,162.7,213,131,33.33,66.67
Punjab Cricket Association IS Bindra Stadium,10,175.6,172,197,150,40,60
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",10,163,155.4,219,95,50,50
Brabourne Stadium,10,180.4,167.7,212,115,60,40
"Himachal Pradesh Cricket Association Stadium, Dharamsala",10,205.2,187.56,254,122,66.67,33.33
Himachal Pradesh Cricket Association Stadium,9,175.67,146.22,232,116,55.56,44.44
Holkar Cricket Stadium,9,160.33,158.78,245,88,11.11,88.89
MA Chidambaram Stadium,9,150.56,134.22,205,70,44.44,55.56
"Barsapara Cricket Stadium, Guwahati",8,168.88,157.62,202,123,50,50
New Wanderers Stadium,8,144,142.5,166,123,37.5,62.5
"Zayed Cricket Stadium, Abu Dhabi",8,159,150.38,235,92,37.5,62.5
Newlands,7,139.43,112.57,184,58,66.67,33.33
St George's Park,7,159,131.43,187,87,42.86,57.14
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",7,220.29,205.57,254,162,42.86,57.14
JSCA International Stadium Complex,7,149,144.71,189,114,28.57,71.43
Barabati Stadium,7,167.71,157.71,231,126,57.14,42.86
Shaheed Veer Narayan Singh International Stadium,6,146.33,143.83,164,119,33.33,66.67
Nehru Stadium,5,146.8,125.8,162,74,60,40
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,197.8,173.4,257,146,60,40
Green Park,4,161.25,163.25,197,124,0,100
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4,208.75,178.5,272,163,50,50
De Beers Diamond Oval,3,158,141,169,113,33.33,66.67
Buffalo Park,3,147.33,119,178,100,66.67,33.33
"Vidarbha Cricket Association Stadium, Jamtha",3,149.33,144.67,159,138,66.67,33.33
OUTsurance Oval,2,135,129.5,150,120,50,50
"Shaheed Veer Narayan Singh International Stadium, Raipur",2,179,180.5,194,166,0,100
